,formula,classifier,rel_l2_distance,success,estimated_formula,training_time
14,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,False,0.5913091548601672,False,0.038*x0**2 + 0.359*x0*sin(-0.004*x0**2 + 2.909*x0 + 7.448) + 0.162*x0*sqrt(Abs(-0.102*x0**2 + 0.453*x0 + 0.652)) - 0.274*x0 + 2.648*sin(-0.004*x0**2 + 2.909*x0 + 7.448)*sqrt(Abs(-0.102*x0**2 + 0.453*x0 + 0.652)) - 2.672*sin(-0.004*x0**2 + 2.909*x0 + 7.448) - 0.363*sqrt(Abs(-0.102*x0**2 + 0.453*x0 + 0.652)) + 3.911,8.056426525115967
15,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,True,0.6340636620193232,False,0.395*x0*sin(0.152*x0**2 - 0.938*x0 + 10.517) + 3.997,7.437103271484375
16,0.859*sin(0.268*x0 + 4.791),False,0.0013822235032173874,False,0.018*x0**2 + 0.002*x0*sin(0.014*x0**2 + 0.006*x0 + 2.505) + 0.01*x0 + 0.159*sin(0.014*x0**2 + 0.006*x0 + 2.505)*sqrt(Abs(1.179*x0**2 + 0.007*x0 + 0.014)) - 1.641*sin(0.014*x0**2 + 0.006*x0 + 2.505) - 0.1*sqrt(Abs(1.179*x0**2 + 0.007*x0 + 0.014)) + 0.121,14.248615741729736
17,0.859*sin(0.268*x0 + 4.791),True,7.211670974518094e-08,True,0.859*sin(0.268*x0 - 1.492) - 7.69815393501811e-5,24.94323968887329
18,1.564 - 0.26*x0**2,False,1.3956456198082073e-07,True,1.564 - 0.26*x0**2,16.02764892578125
19,1.564 - 0.26*x0**2,True,7.471947980371708e-08,True,1.564 - 0.26*x0**2,5.365153551101685
20,3.579*x0**2 + 4.854,False,6.986696313556067e-08,True,3.579*x0**2 + 4.854,15.517423868179321
21,3.579*x0**2 + 4.854,True,6.98669793207263e-08,True,3.579*x0**2 + 4.854,3.2613987922668457
22,1.57*x0*sin(0.959*x0) + 3.464,False,0.4335753884558949,False,0.416*x0**2 + 0.752*x0*sin(0.231*x0**2 + 3.596*x0 - 5.424) + 0.07*x0*sqrt(Abs(-0.695*x0**2 + 0.247*x0 + 1.857)) - 0.443*x0 - 1.374*sin(0.231*x0**2 + 3.596*x0 - 5.424)*sqrt(Abs(-0.695*x0**2 + 0.247*x0 + 1.857)) + 1.35*sin(0.231*x0**2 + 3.596*x0 - 5.424) - 4.156*sqrt(Abs(-0.695*x0**2 + 0.247*x0 + 1.857)) + 7.759,9.480360507965088
23,1.57*x0*sin(0.959*x0) + 3.464,True,1.9428238447134547e-07,True,1.57*x0*sin(0.959*x0) + 3.464,1.8123924732208252
24,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),False,0.6654254067219092,False,-0.035*x0**2 - 4.544*x0*sin(0.408*x0**2 - 0.389*x0 + 0.279) + 0.254*x0*sqrt(Abs(0.052*x0**2 + 0.459*x0 - 0.283)) - 0.204*x0 + 0.01*sin(0.408*x0**2 - 0.389*x0 + 0.279)*sqrt(Abs(0.052*x0**2 + 0.459*x0 - 0.283)) + 0.243*sin(0.408*x0**2 - 0.389*x0 + 0.279) - 0.227*sqrt(Abs(0.052*x0**2 + 0.459*x0 - 0.283)) + 0.442,8.96491551399231
25,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),True,0.018137153567981325,False,6.207*x0*sin(0.412*x0**2),7.617542505264282
26,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),False,0.29825011607721963,False,-0.648*x0**2 + 1.482*x0*sin(1.131*x0**2 - 1.583*x0 + 3.057) - 0.01*x0*sqrt(Abs(-0.649*x0**2 + 1.1*x0 + 0.695)) + 0.027*x0 + 2.176*sin(1.131*x0**2 - 1.583*x0 + 3.057)*sqrt(Abs(-0.649*x0**2 + 1.1*x0 + 0.695)) - 1.213*sin(1.131*x0**2 - 1.583*x0 + 3.057) - 0.044*sqrt(Abs(-0.649*x0**2 + 1.1*x0 + 0.695)) + 0.114,9.557948350906372
27,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),True,0.3531612049509706,False,-0.651*x0**2 - 1.366*x0*sin(-1.419*x0**2 + 0.134*x0 + 6.725),5.842324495315552
28,5.063*x0,False,5.366399999815289e-08,True,5.063*x0,15.535644769668579
29,5.063*x0,True,4.426302627153686e-08,True,5.063*x0,1.8748512268066406
30,-4.131*x0**2 + 3.055*x0,False,6.841030447640602e-08,True,-4.131*x0**2 + 3.055*x0,14.098196506500244
31,-4.131*x0**2 + 3.055*x0,True,6.841030426001033e-08,True,-4.131*x0**2 + 3.055*x0,3.292433738708496
32,-3.798*x0,False,2.0771583741396035e-07,True,-3.798*x0,16.459097146987915
33,-3.798*x0,True,4.3951350480647774e-08,True,-3.798*x0,1.9610607624053955
34,4.511*x0*sin(2.293*x0),False,0.552638122507495,False,0.086*x0**2 + 3.726*x0*sin(0.163*x0**2 - 0.192*x0 + 2.871) + 1.059*x0*sqrt(Abs(0.007*x0**2 + 0.021*x0 - 0.479)) - 0.486*x0 - 0.022*sin(0.163*x0**2 - 0.192*x0 + 2.871)*sqrt(Abs(0.007*x0**2 + 0.021*x0 - 0.479)) + 0.462*sin(0.163*x0**2 - 0.192*x0 + 2.871) - 0.618*sqrt(Abs(0.007*x0**2 + 0.021*x0 - 0.479)) - 0.474,8.969157934188843
35,4.511*x0*sin(2.293*x0),True,6.589652634926004e-07,True,4.511*x0*sin(2.293*x0),1.6014823913574219
36,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,False,0.813546787578108,False,-0.01*x0**2 - 2.568*x0*sin(0.439*x0**2 - 0.57*x0 + 1.377) + 0.026*x0*sqrt(Abs(0.282*x0**2 + 0.155*x0 + 0.109)) + 0.395*sin(0.439*x0**2 - 0.57*x0 + 1.377)*sqrt(Abs(0.282*x0**2 + 0.155*x0 + 0.109)) + 0.032*sin(0.439*x0**2 - 0.57*x0 + 1.377) - 0.726*sqrt(Abs(0.282*x0**2 + 0.155*x0 + 0.109)) - 0.689,9.01759386062622
37,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,True,0.9817063594379282,False,-0.506*x0*sin(0.071*x0 - 0.129) - 2.105,5.434787034988403
38,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,False,0.03205623511288056,False,-0.002*x0**2 + 0.001*x0*sqrt(Abs(-0.081*x0**2 + 0.004*x0 + 0.004)) - 0.002*x0 + 0.017*sin(0.07*x0**2 + 0.001) + 0.089*sqrt(Abs(-0.081*x0**2 + 0.004*x0 + 0.004)) - 6.761,9.744325399398804
39,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,True,0.03240309902785333,False,0.056*sin(0.025*x0**2) - 6.713,8.219393730163574
