,formula,classifier,rel_l2_distance,success,estimated_formula,training_time,iter
10,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),False,6.91062514412644e-08,True,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),13.31657648086548,50
11,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),True,7.716679345637805e-08,True,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),12.731356382369995,50
12,4.771*x0**2 + 0.831*sin(-0.744*x0**2 + 0.859*x0 + 1.292),False,0.0028132843199388,False,4.771*x0**2,13.586442232131958,50
13,4.771*x0**2 + 0.831*sin(-0.744*x0**2 + 0.859*x0 + 1.292),True,0.0028132836763466,False,4.771*x0**2,8.875765800476074,50
14,-0.07*x0*sin(3.961*x0**2 - 0.584),False,0.7336858316953329,False,-0.015*x0**2 + 0.011*x0*sin(3.888*x0**2 + 0.952*x0 + 6.104) + 0.2*x0*sqrt(Abs(0.007*x0**2 + 0.125*x0 + 0.546)) - 0.112*x0 + 0.325*sin(3.888*x0**2 + 0.952*x0 + 6.104)*sqrt(Abs(0.007*x0**2 + 0.125*x0 + 0.546)) - 0.082*sin(3.888*x0**2 + 0.952*x0 + 6.104) - 0.528*sqrt(Abs(0.007*x0**2 + 0.125*x0 + 0.546)) + 0.36,11.173038244247437,50
15,-0.07*x0*sin(3.961*x0**2 - 0.584),True,0.919920445700511,False,-0.028*x0*sin(0.501*x0**2 - 2.156),4.664750576019287,50
16,4.126 - 0.441*sin(1.653*x0),False,0.0304688228719732,False,-0.04*x0**2 + 0.002*x0*sin(0.119*x0**2 + 0.228*x0 + 0.673) + 0.01*x0*sqrt(Abs(0.125*x0**2 + 0.249*x0 - 0.365)) - 0.099*x0 - 0.079*sin(0.119*x0**2 + 0.228*x0 + 0.673)*sqrt(Abs(0.125*x0**2 + 0.249*x0 - 0.365)) + 0.662*sin(0.119*x0**2 + 0.228*x0 + 0.673) + 1.39*sqrt(Abs(0.125*x0**2 + 0.249*x0 - 0.365)) + 2.905,10.102080345153809,50
17,4.126 - 0.441*sin(1.653*x0),True,3.83028774534825e-08,True,4.126 - 0.441*sin(1.653*x0),6.010991096496582,50
18,3.87200000000000,False,2.035984620308384e-06,True,-0.003*sin(0.001*x0**2 + 0.001)*sqrt(Abs(0.007*x0**2 + 0.001*x0 - 0.001)) + 0.002*sin(0.001*x0**2 + 0.001) + 3.872,15.962852954864502,50
19,3.87200000000000,True,0.0,True,3.87200000000000,4.637903690338135,50
20,-4.552*x0*sin(2.429*x0**2 - 1.634*x0 + 1.587),False,0.7402269093864001,False,-0.008*x0**2 + 1.853*x0*sin(-2.391*x0**2 + 1.116*x0 + 0.058) + 0.011*x0*sqrt(Abs(0.805*x0**2 + 0.662*x0 - 0.007)) - 0.008*x0 + 2.874*sin(-2.391*x0**2 + 1.116*x0 + 0.058)*sqrt(Abs(0.805*x0**2 + 0.662*x0 - 0.007)) - 0.478*sin(-2.391*x0**2 + 1.116*x0 + 0.058) + 0.005*sqrt(Abs(0.805*x0**2 + 0.662*x0 - 0.007)) + 0.001,10.074941635131836,50
21,-4.552*x0*sin(2.429*x0**2 - 1.634*x0 + 1.587),True,0.896041946643562,False,2.035*x0*sin(2.303*x0**2 + 0.364*x0 - 2.942),4.953994512557983,50
22,0.149*x0*sin(2.412*x0**2) + 0.857*x0*sqrt(Abs(6.27*x0**2 + 0.665*x0 + 1.359)),False,0.0041813890721495,False,0.003*x0**2 - 0.116*x0*sin(2.412*x0**2 + 0.391*x0 - 0.03) + 1.902*x0*sqrt(Abs(1.267*x0**2 - 0.005*x0 + 0.112)) + 0.048*x0 + 0.001*sin(2.412*x0**2 + 0.391*x0 - 0.03)*sqrt(Abs(1.267*x0**2 - 0.005*x0 + 0.112)) - 0.001*sin(2.412*x0**2 + 0.391*x0 - 0.03) + 0.078*sqrt(Abs(1.267*x0**2 - 0.005*x0 + 0.112)) + 0.029,10.863645315170288,50
23,0.149*x0*sin(2.412*x0**2) + 0.857*x0*sqrt(Abs(6.27*x0**2 + 0.665*x0 + 1.359)),True,0.00664842713002,False,-0.001*x0*sin(0.024*x0**2 - 0.001*x0) + 2.209*x0*sqrt(Abs(0.944*x0**2 + 0.096*x0 + 0.124)),24.053741693496704,50
24,-0.862*x0**2,False,7.012490704910154e-08,True,-0.862*x0**2,23.185544729232788,50
25,-0.862*x0**2,True,6.923810929932519e-08,True,-0.862*x0**2,5.017386198043823,50
26,-2.979*sin(2.163*x0**2 + 2.653*x0),False,0.0022224701426401,False,0.043*x0**2 + 0.337*x0*sin(2.163*x0**2 + 2.653*x0 + 9.424) + 0.313*x0*sqrt(Abs(0.019*x0**2 - 0.47*x0 + 2.949)) - 0.565*x0 + 2.461*sin(2.163*x0**2 + 2.653*x0 + 9.424)*sqrt(Abs(0.019*x0**2 - 0.47*x0 + 2.949)) - 1.244*sin(2.163*x0**2 + 2.653*x0 + 9.424) - 0.212*sqrt(Abs(0.019*x0**2 - 0.47*x0 + 2.949)) + 0.365,22.657576084136963,50
27,-2.979*sin(2.163*x0**2 + 2.653*x0),True,0.995044389816482,False,-0.297*sin(1.04*x0**2 + 0.27*x0),12.591911315917969,50
28,-2.817*x0 - 0.053*sin(0.663*x0**2 + 1.818*x0 + 4.182),False,0.0021907221112007,False,0.005 - 2.817*x0,25.02293419837952,50
29,-2.817*x0 - 0.053*sin(0.663*x0**2 + 1.818*x0 + 4.182),True,0.002207170363382,False,-2.817*x0,15.543437004089355,50
30,-0.772*x0**2 + 0.333*x0*sin(2.938*x0**2 + 2.245*x0),False,0.0282794564077831,False,-0.778*x0**2 + 0.121*x0*sin(2.846*x0**2 + 0.908*x0 + 1.673) - 0.045*x0*sqrt(Abs(-0.022*x0**2 + 0.202*x0 + 0.211)) + 0.052*x0 - 0.78*sin(2.846*x0**2 + 0.908*x0 + 1.673)*sqrt(Abs(-0.022*x0**2 + 0.202*x0 + 0.211)) + 0.011*sin(2.846*x0**2 + 0.908*x0 + 1.673) + 0.12*sqrt(Abs(-0.022*x0**2 + 0.202*x0 + 0.211)) + 0.005,13.215386152267456,50
31,-0.772*x0**2 + 0.333*x0*sin(2.938*x0**2 + 2.245*x0),True,0.0343615264129752,False,-0.773*x0**2 + 0.167*x0*sin(2.768*x0**2 + 0.033*x0 - 0.056),10.866495609283447,50
32,1.076*sin(0.189*x0),False,4.939446259233106e-05,True,-0.002*x0*sin(0.023*x0**2 - 0.111*x0) - 0.539*x0*sqrt(Abs(0.002*x0**2 - 0.001*x0 + 0.151)) + 0.409*x0 - 0.007*sin(0.023*x0**2 - 0.111*x0)*sqrt(Abs(0.002*x0**2 - 0.001*x0 + 0.151)) - 0.027*sin(0.023*x0**2 - 0.111*x0),19.45238733291626,50
33,1.076*sin(0.189*x0),True,4.0181596288996814e-08,True,1.076*sin(0.189*x0),2.992553234100342,50
34,1.474*sin(0.659*x0**2 + 3.231),False,1.8391057233276124e-06,True,1.474*sin(0.659*x0**2 - 3.052),10.384053468704224,50
35,1.474*sin(0.659*x0**2 + 3.231),True,1.7890524446457762e-06,True,-1.474*sin(0.659*x0**2 + 0.09),15.597450494766235,50
36,-1.23500000000000,False,2.693119775988528e-05,True,-1.23500000000000,26.95703220367432,50
37,-1.23500000000000,True,0.0,True,-1.23500000000000,5.016499042510986,50
38,-3.16*x0*sin(4.709*x0) + 1.148*x0,False,0.793136531531366,False,-0.052*x0**2 + 1.477*x0*sin(3.502*x0**2 + 0.174*x0 - 6.211) + 0.016*x0*sqrt(Abs(0.111*x0**2 + 0.129*x0 - 0.046)) + 1.071*x0 + 0.016*sin(3.502*x0**2 + 0.174*x0 - 6.211)*sqrt(Abs(0.111*x0**2 + 0.129*x0 - 0.046)) + 0.081*sin(3.502*x0**2 + 0.174*x0 - 6.211) + 0.916*sqrt(Abs(0.111*x0**2 + 0.129*x0 - 0.046)) - 0.003,13.16076922416687,50
39,-3.16*x0*sin(4.709*x0) + 1.148*x0,True,0.8786559870729449,False,-0.477*x0*sin(2.04*x0) + 1.137*x0,1.967353343963623,50
40,4.25*sin(2.589*x0 - 2.635),False,0.7961425287593265,False,0.035*x0**2 - 0.968*x0*sin(0.132*x0**2 + 1.635*x0 + 1.741) - 0.278*x0*sqrt(Abs(0.192*x0**2 + 0.953*x0 - 2.549)) + 0.277*x0 + 3.677*sin(0.132*x0**2 + 1.635*x0 + 1.741)*sqrt(Abs(0.192*x0**2 + 0.953*x0 - 2.549)) - 7.099*sin(0.132*x0**2 + 1.635*x0 + 1.741) + 2.147*sqrt(Abs(0.192*x0**2 + 0.953*x0 - 2.549)) - 3.636,14.355339765548706,50
41,4.25*sin(2.589*x0 - 2.635),True,5.082086672279629e-07,True,-4.25*sin(2.589*x0 + 0.507),10.992413520812988,50
42,4.131*x0*sin(1.933*x0**2 - 0.549*x0 + 3.205) - 2.847*sin(1.933*x0**2 - 0.549*x0 + 3.205)*sqrt(Abs(1.344*x0 + 1.678)),False,0.5007586261886361,False,1.752*x0*sin(1.991*x0**2 + 0.244*x0 - 0.552) - 0.004*x0*sqrt(Abs(-1.133*x0**2 + 1.567*x0 + 2.329)) + 0.005*x0 - 3.057*sin(1.991*x0**2 + 0.244*x0 - 0.552)*sqrt(Abs(-1.133*x0**2 + 1.567*x0 + 2.329)) + 2.214*sin(1.991*x0**2 + 0.244*x0 - 0.552) - 0.044*sqrt(Abs(-1.133*x0**2 + 1.567*x0 + 2.329)) + 0.205,10.445554256439207,50
43,4.131*x0*sin(1.933*x0**2 - 0.549*x0 + 3.205) - 2.847*sin(1.933*x0**2 - 0.549*x0 + 3.205)*sqrt(Abs(1.344*x0 + 1.678)),True,0.041314367881969,False,-3.943*x0*sin(1.933*x0**2 - 0.549*x0 + 0.061) + 1.152*sin(1.933*x0**2 - 0.549*x0 + 0.061)*sqrt(Abs(-0.47*x0**2 + 0.369*x0 + 1.484)) + 3.241*sin(1.933*x0**2 - 0.549*x0 + 0.061),9.76929235458374,50
44,6.898*x0**2 + 2.624*x0*sin(2.606*x0**2 + 3.646),False,0.013348196524821,False,6.898*x0**2 - 0.001*x0*sin(2.605*x0**2 + 0.196*x0 - 0.935) + 0.004*x0*sqrt(Abs(0.826*x0**2 - 0.001)) - 2.558*sin(2.605*x0**2 + 0.196*x0 - 0.935)*sqrt(Abs(0.826*x0**2 - 0.001)) - 0.001*sin(2.605*x0**2 + 0.196*x0 - 0.935) + 0.001*sqrt(Abs(0.826*x0**2 - 0.001)),14.6992347240448,50
45,6.898*x0**2 + 2.624*x0*sin(2.606*x0**2 + 3.646),True,3.6173982653827193e-07,True,6.898*x0**2 - 2.624*x0*sin(2.606*x0**2 + 0.504),7.567543268203735,50
46,1.039*sin(4.822*x0**2 + 2.205*x0)*sqrt(Abs(2.436*x0**2 - 5.604*x0)),False,0.934339899584637,False,0.014*x0**2 - 0.47*x0*sin(-1.586*x0**2 + 0.524*x0 + 1.665) + 0.634*x0*sqrt(Abs(-0.014*x0**2 + 0.043*x0 + 0.867)) - 0.557*x0 + 0.965*sin(-1.586*x0**2 + 0.524*x0 + 1.665)*sqrt(Abs(-0.014*x0**2 + 0.043*x0 + 0.867)) - 0.529*sin(-1.586*x0**2 + 0.524*x0 + 1.665) - 0.146*sqrt(Abs(-0.014*x0**2 + 0.043*x0 + 0.867)) - 0.119,8.9496591091156,50
47,1.039*sin(4.822*x0**2 + 2.205*x0)*sqrt(Abs(2.436*x0**2 - 5.604*x0)),True,0.8461914062257405,False,0.385*x0*sin(4.987*x0**2 + 0.075*x0) + 1.231*sin(4.987*x0**2 + 0.075*x0)*sqrt(Abs(0.388*x0**2 + 0.07*x0 - 0.798)),7.358679056167602,50
48,-6.339*x0*sin(6.961*x0) + 2.891,False,0.7118050672152388,False,0.042*x0**2 + 0.011*x0*sin(0.425*x0**2 - 0.342) - 0.004*x0*sqrt(Abs(0.723*x0**2 - 3.167)) + 0.001*x0 + 7.379*sin(0.425*x0**2 - 0.342)*sqrt(Abs(0.723*x0**2 - 3.167)) - 12.692*sin(0.425*x0**2 - 0.342) - 0.001*sqrt(Abs(0.723*x0**2 - 3.167)) + 2.396,9.075748443603516,50
49,-6.339*x0*sin(6.961*x0) + 2.891,True,0.9887339720579008,False,0.797*x0*sin(0.102*x0) + 0.548,2.0800106525421143,50
50,1.095*sin(5.548*x0),False,0.5018050054539116,False,-0.008*x0**2 + 0.113*x0*sin(0.02*x0**2 - 5.386*x0 + 0.09) - 0.004*x0*sqrt(Abs(0.015*x0**2 + 0.002*x0 - 1.172)) + 0.001*x0 - 1.471*sin(0.02*x0**2 - 5.386*x0 + 0.09)*sqrt(Abs(0.015*x0**2 + 0.002*x0 - 1.172)) + 0.606*sin(0.02*x0**2 - 5.386*x0 + 0.09) - 0.907*sqrt(Abs(0.015*x0**2 + 0.002*x0 - 1.172)) + 0.999,10.44996452331543,50
51,1.095*sin(5.548*x0),True,0.9997815506829666,False,-0.057*sin(0.043*x0),1.6329679489135742,50
52,-1.866*x0*sqrt(Abs(0.812*x0**2 + 0.134*x0 - 0.599)) + 8.292*sin(3.613*x0**2 - 0.297*x0),False,0.0745878015075317,False,-0.001*x0**2 + 0.147*x0*sin(0.699*x0**2 + 0.088*x0 - 0.002) - 1.844*x0*sqrt(Abs(0.815*x0**2 + 0.003*x0 - 0.007)) + 0.038*x0 + 0.001*sin(0.699*x0**2 + 0.088*x0 - 0.002) - 0.001*sqrt(Abs(0.815*x0**2 + 0.003*x0 - 0.007)) + 0.007,12.967385053634644,50
53,-1.866*x0*sqrt(Abs(0.812*x0**2 + 0.134*x0 - 0.599)) + 8.292*sin(3.613*x0**2 - 0.297*x0),True,0.0750857505523861,False,-1.747*x0*sqrt(Abs(0.904*x0**2 + 0.009*x0)) - 0.051*sin(0.14*x0**2),9.113530158996582,50
54,-6.564*x0**2,False,7.653205963608486e-08,True,-6.564*x0**2,14.109598398208618,50
55,-6.564*x0**2,True,7.653205995829933e-08,True,-6.564*x0**2,1.8380067348480225,50
56,-3.962*x0 - 4.075*sin(2.836*x0**2 + 2.215*x0 - 6.166),False,0.1231907676447702,False,0.004*x0**2 + 0.107*x0*sin(0.67*x0**2 + 0.415*x0 - 0.002) - 3.955*x0 - 0.009*sin(0.67*x0**2 + 0.415*x0 - 0.002) - 0.111,10.765738010406494,50
57,-3.962*x0 - 4.075*sin(2.836*x0**2 + 2.215*x0 - 6.166),True,1.0132754836995205e-06,True,-3.962*x0 - 4.075*sin(2.836*x0**2 + 2.215*x0 + 0.118),6.355526924133301,50
58,-0.462000000000000,False,6.934587076813177e-05,True,-0.462000000000000,14.538506984710692,50
59,-0.462000000000000,True,0.0,True,-0.462000000000000,3.667165994644165,50
60,-2.265*sin(-5.014*x0**2 + 2.311*x0 + 1.886),False,0.8995110874519265,False,-0.019*x0**2 - 0.165*x0*sin(1.6*x0**2 - 2.008*x0 + 2.218) - 0.022*x0*sqrt(Abs(0.101*x0**2 + 0.616*x0 - 0.065)) - 0.077*x0 + 1.017*sin(1.6*x0**2 - 2.008*x0 + 2.218)*sqrt(Abs(0.101*x0**2 + 0.616*x0 - 0.065)) - 1.37*sin(1.6*x0**2 - 2.008*x0 + 2.218) + 1.145*sqrt(Abs(0.101*x0**2 + 0.616*x0 - 0.065)) - 1.157,7.906388282775879,50
61,-2.265*sin(-5.014*x0**2 + 2.311*x0 + 1.886),True,0.8895466973355193,False,-1.092*sin(5.077*x0**2 - 1.652*x0 + 2.483),8.003328561782837,50
62,1.808*x0**2 + 2.118*sin(2.426*x0),False,0.0148089379912565,False,1.809*x0**2 + 0.221*x0*sin(0.183*x0**2 + 0.002*x0 + 0.927),11.297949075698853,50
63,1.808*x0**2 + 2.118*sin(2.426*x0),True,0.0186926355045041,False,1.809*x0**2 + 0.001*sin(0.003*x0),6.82493782043457,50
64,1.419*x0,False,4.237376273433912e-08,True,1.419*x0,18.471390962600708,50
65,1.419*x0,True,4.2449129503305756e-08,True,1.419*x0,2.4913477897644043,50
66,-3.68541372982736*x0*sqrt(Abs(x0**2)) - 0.379*sin(0.666*x0**2 - 0.565*x0),False,0.0015666941425662,False,-3.68648206288868*x0*sqrt(Abs(x0**2)),17.84356665611267,50
67,-3.68541372982736*x0*sqrt(Abs(x0**2)) - 0.379*sin(0.666*x0**2 - 0.565*x0),True,0.0015671441964238,False,-3.68643182725518*x0*sqrt(Abs(x0**2)),9.011662244796751,50
68,1.60844082887746*sin(5.982*x0 - 2.644)*sqrt(Abs(x0**2)),False,0.9171063167059498,False,-0.004*x0**2 - 0.011*x0*sin(3.4*x0**2 + 0.159*x0 - 9.774) + 0.036*x0*sqrt(Abs(0.235*x0**2 + 0.002*x0 + 1.156)) - 0.072*x0 + 2.753*sin(3.4*x0**2 + 0.159*x0 - 9.774)*sqrt(Abs(0.235*x0**2 + 0.002*x0 + 1.156)) - 5.189*sin(3.4*x0**2 + 0.159*x0 - 9.774) + 0.003,11.096948385238647,50
69,1.60844082887746*sin(5.982*x0 - 2.644)*sqrt(Abs(x0**2)),True,0.9948875760870112,False,0.169491929011384*sin(0.437*x0)*sqrt(Abs(x0**2)),6.113360643386841,50
70,0.439*x0,False,4.2324344905722927e-08,True,0.439*x0,18.148879051208496,50
71,0.439*x0,True,4.2111930415231966e-08,True,0.439*x0,3.715662956237793,50
72,-1.99800000000000,False,5.5115734323011094e-08,True,-1.99793675444680,13.855873823165894,50
73,-1.99800000000000,True,0.0,True,-1.99800000000000,3.888160228729248,50
74,-2.188*sin(5.4*x0**2 - 0.569),False,0.9579740657463536,False,-0.007*x0**2 - 0.023*x0*sin(2.144*x0**2 - 0.003*x0 + 1.525) - 0.008*x0 + 0.46*sin(2.144*x0**2 - 0.003*x0 + 1.525)*sqrt(Abs(0.189*x0**2 + 0.29*x0 - 0.321)) - 0.766*sin(2.144*x0**2 - 0.003*x0 + 1.525) + 0.165*sqrt(Abs(0.189*x0**2 + 0.29*x0 - 0.321)) - 0.054,8.885053873062134,50
75,-2.188*sin(5.4*x0**2 - 0.569),True,1.7922362296537174e-05,True,2.188*sin(5.4*x0**2 + 2.573),3.093330144882202,50
76,-0.436*x0**2,False,1.0115356229745617e-07,True,-0.436*x0**2,16.985693216323853,50
77,-0.436*x0**2,True,6.89774527870822e-08,True,-0.436*x0**2,3.059628486633301,50
78,6.109*sin(4.473*x0**2 + 7.354*x0 - 4.017),False,0.9472380123348828,False,-0.026*x0**2 - 0.131*x0*sin(5.68*x0**2 - 0.42*x0 + 4.57) - 0.013*x0*sqrt(Abs(-0.19*x0**2 + 0.379*x0 + 0.357)) + 0.14*x0 + 0.724*sin(5.68*x0**2 - 0.42*x0 + 4.57)*sqrt(Abs(-0.19*x0**2 + 0.379*x0 + 0.357)) - 2.385*sin(5.68*x0**2 - 0.42*x0 + 4.57) + 0.473*sqrt(Abs(-0.19*x0**2 + 0.379*x0 + 0.357)) - 0.314,7.453081130981445,50
79,6.109*sin(4.473*x0**2 + 7.354*x0 - 4.017),True,0.959719041046348,False,1.73*sin(4.811*x0**2 + 2.191*x0 - 3.81),3.281691312789917,50
80,-2.046*x0,False,5.0770420899807374e-08,True,-2.046*x0,19.30108618736267,50
81,-2.046*x0,True,4.3267028359284233e-08,True,-2.046*x0,2.0798823833465576,50
82,-1.013*x0*sin(0.75*x0 + 1.261) - 2.494*x0,False,0.1241767542590937,False,-0.034*x0**2 - 0.006*x0*sin(1.805*x0**2 - 0.004*x0 + 0.014) - 0.925*x0*sqrt(Abs(-0.069*x0**2 + 0.101*x0 + 1.101)) - 1.342*x0 + 0.025*sin(1.805*x0**2 - 0.004*x0 + 0.014)*sqrt(Abs(-0.069*x0**2 + 0.101*x0 + 1.101)) - 0.008*sqrt(Abs(-0.069*x0**2 + 0.101*x0 + 1.101)) + 0.332,14.553924560546877,50
83,-1.013*x0*sin(0.75*x0 + 1.261) - 2.494*x0,True,5.3908108287713584e-08,True,1.013*x0*sin(0.75*x0 - 1.88) - 2.494*x0,7.240026235580444,50
84,-2.65200000000000,False,1.2226183049608826e-08,True,-2.65200000000000,17.451094150543213,50
85,-2.65200000000000,True,0.0,True,-2.65200000000000,6.63782525062561,50
86,0.371*x0**2 + 0.731*x0,False,8.077756493857822e-08,True,0.371*x0**2 + 0.731*x0,17.581393003463745,50
87,0.371*x0**2 + 0.731*x0,True,7.193996632444009e-08,True,0.371*x0**2 + 0.731*x0,5.027165174484253,50
88,-1.91*x0*sin(-3.095*x0**2 + 0.363*x0 + 0.395),False,0.7123015670539973,False,-0.017*x0**2 + 1.188*x0*sin(3.187*x0**2 + 0.952*x0 - 2.289) - 0.105*x0*sqrt(Abs(0.361*x0**2 + 0.821*x0 + 0.136)) + 0.313*x0 - 1.722*sin(3.187*x0**2 + 0.952*x0 - 2.289)*sqrt(Abs(0.361*x0**2 + 0.821*x0 + 0.136)) + 1.328*sin(3.187*x0**2 + 0.952*x0 - 2.289) + 0.247*sqrt(Abs(0.361*x0**2 + 0.821*x0 + 0.136)) + 0.003,9.246617794036863,50
89,-1.91*x0*sin(-3.095*x0**2 + 0.363*x0 + 0.395),True,0.8396417792768769,False,-1.054*x0*sin(3.293*x0**2 - 3.524*x0 + 2.449),4.540626287460327,50
90,0.771*x0*sqrt(Abs(3.293*x0**2 + 0.878*x0 + 1.837)) + 3.64*sin(0.824*x0**2 - 8.78*x0 + 1.936),False,0.0366644163807164,False,0.035*x0**2 - 0.168*x0*sin(-0.291*x0**2 + 0.255*x0 + 0.004) + 1.611*x0*sqrt(Abs(-0.773*x0**2 + 0.121*x0 + 0.026)) - 0.113*x0 - 0.2*sin(-0.291*x0**2 + 0.255*x0 + 0.004)*sqrt(Abs(-0.773*x0**2 + 0.121*x0 + 0.026)) - 0.003*sin(-0.291*x0**2 + 0.255*x0 + 0.004) - 0.015*sqrt(Abs(-0.773*x0**2 + 0.121*x0 + 0.026)) + 0.045,12.010425090789797,50
91,0.771*x0*sqrt(Abs(3.293*x0**2 + 0.878*x0 + 1.837)) + 3.64*sin(0.824*x0**2 - 8.78*x0 + 1.936),True,0.0409826132257964,False,1.483*x0*sqrt(Abs(0.894*x0**2 + 0.008)) + 0.842*sin(0.017*x0**2 - 0.019*x0 + 0.009),7.754535913467407,50
92,0.819 - 0.131*sin(1.645*x0),False,0.0812307041910369,False,0.002*x0**2 - 0.02*x0*sqrt(Abs(-0.003*x0**2 + 0.164*x0 + 0.191)) + 0.02*x0 + 0.366*sin(0.288*x0**2 + 0.52*x0 + 0.46)*sqrt(Abs(-0.003*x0**2 + 0.164*x0 + 0.191)) - 0.4*sin(0.288*x0**2 + 0.52*x0 + 0.46) - 0.33*sqrt(Abs(-0.003*x0**2 + 0.164*x0 + 0.191)) + 1.084,10.92397928237915,50
93,0.819 - 0.131*sin(1.645*x0),True,3.8751079380123376e-08,True,0.819 - 0.131*sin(1.645*x0),6.644472122192383,50
